rank,seq_len,t_io,t_compute,t_comm,t_wait,msgs,bytes,latency_us
6,32768,0.360470,35.636169,18.033607,82.804228,8,73209856,2226.615
7,32768,0.423568,35.928470,18.033634,82.511433,8,73209856,2226.615
2,32768,0.351289,35.778040,17.998781,82.707469,8,73209856,2226.615
3,32768,0.351937,35.685914,18.033770,82.764006,8,73209856,2226.615
4,32768,0.347845,35.882128,18.032217,82.572585,8,73209856,2226.615
5,32768,0.352748,36.151638,18.032871,82.302335,8,73209856,2226.615
18,32768,0.761525,13.061614,53.914463,69.077292,8,73209856,2226.615
0,32768,0.365581,28.987992,47.999743,70.715961,10,207427584,2226.615
1,32768,0.424164,35.401769,17.994533,83.083965,8,73209856,2226.615
19,32768,0.784513,13.882572,108.596082,13.663250,8,73209856,2226.615
20,32768,0.773509,15.240204,76.539572,44.451534,8,73209856,2226.615
21,32768,0.778344,12.516680,58.844853,64.962186,8,73207808,2226.615
12,32768,0.977146,12.072810,73.302097,50.088387,8,73209856,2226.615
13,32768,0.963918,15.673695,74.805660,45.064194,8,73209856,2226.615
14,32768,0.756250,8.278456,77.639185,49.746010,8,73209856,2226.615
15,32768,0.986697,11.825465,79.657229,44.268108,8,73209856,2226.615
16,32768,0.751608,6.547960,71.105349,58.193607,8,73209856,2226.615
17,32768,0.979064,6.061262,70.229511,59.642900,8,73209856,2226.615
8,32768,0.820111,30.802996,36.773472,68.948665,8,73209856,2226.615
9,32768,0.825663,30.787488,39.231635,66.584399,8,73209856,2226.615
10,32768,0.809685,29.939255,40.579455,66.291076,8,73207808,2226.615
11,32768,0.842686,13.765237,133.424717,0.285086,10,207427584,2226.615
