rank,seq_len,t_io,t_compute,t_comm,t_wait,msgs,bytes,latency_us
6,64,0.000621,0.000105,2.115385,0.000000,8,143360,2405.665
7,64,0.000787,0.000116,2.115323,0.000000,8,143360,2405.665
8,64,0.004258,0.059339,2.139966,0.000000,8,143360,2405.665
1,64,0.001320,0.000116,2.115342,0.000000,8,143360,2405.665
3,64,0.000582,0.000111,2.115372,0.000000,8,143360,2405.665
5,64,0.000618,0.000104,2.115399,0.000000,8,143360,2405.665
9,64,0.002905,0.070679,2.144989,0.000000,8,141312,2405.665
10,64,0.004222,0.067796,2.139849,0.000000,8,141312,2405.665
11,64,0.002844,0.051117,2.467355,0.000000,10,405504,2405.665
20,64,0.005649,0.000884,2.189852,0.000000,8,141312,2405.665
4,64,0.000654,0.000106,2.115396,0.000000,8,143360,2405.665
0,64,0.000772,0.000100,2.544844,0.000000,10,405504,2405.665
2,64,0.001315,0.000106,2.115379,0.000000,8,143360,2405.665
21,64,0.003298,0.003943,2.470575,0.000000,8,141312,2405.665
12,64,0.003346,0.004789,2.216915,0.000000,8,143360,2405.665
13,64,0.005632,0.001502,2.240926,0.000000,8,143360,2405.665
14,64,0.003364,0.001062,2.188488,0.000000,8,143360,2405.665
15,64,0.003347,0.000894,2.203195,0.000000,8,143360,2405.665
16,64,0.003308,0.005637,2.216939,0.000000,8,143360,2405.665
17,64,0.005642,0.000813,2.203189,0.000000,8,143360,2405.665
18,64,0.003301,0.000762,2.185712,0.000000,8,143360,2405.665
19,64,0.005649,0.000863,2.226800,0.000000,8,143360,2405.665
6,128,0.001915,0.000439,0.209373,0.000000,8,286720,8446.623
7,128,0.001479,0.000454,0.209362,0.000000,8,284672,8446.623
10,128,0.006177,0.081822,0.221985,0.000000,8,284672,8446.623
11,128,0.008808,0.056674,0.668523,0.000000,10,811008,8446.623
8,128,0.006134,0.050552,0.220402,0.000000,8,284672,8446.623
9,128,0.008704,0.066825,0.235043,0.000000,8,284672,8446.623
12,128,0.012112,0.003293,0.356605,0.000000,8,286720,8446.623
0,128,0.001553,0.000311,0.751807,0.000000,10,811008,8446.623
2,128,0.001701,0.000373,0.209347,0.000000,8,286720,8446.623
4,128,0.001483,0.000384,0.209399,0.000000,8,286720,8446.623
5,128,0.001774,0.000384,0.209425,0.000000,8,286720,8446.623
14,128,0.012104,0.001721,0.392591,0.000000,8,286720,8446.623
3,128,0.001530,0.000373,0.209416,0.000000,8,286720,8446.623
1,128,0.001880,0.000380,0.209372,0.000000,8,286720,8446.623
15,128,0.012056,0.002749,0.340014,0.000000,8,286720,8446.623
13,128,0.007392,0.001498,0.329197,0.000000,8,286720,8446.623
16,128,0.012118,0.002451,0.361599,0.000000,8,286720,8446.623
18,128,0.012064,0.000985,0.347354,0.000000,8,284672,8446.623
20,128,0.007442,0.001489,0.352194,0.000000,8,284672,8446.623
21,128,0.011985,0.001699,0.344948,0.000000,8,284672,8446.623
17,128,0.012088,0.001939,0.390015,0.000000,8,286720,8446.623
19,128,0.012155,0.000818,0.597581,0.000000,8,284672,8446.623
6,256,0.003692,0.001346,3.152705,0.000000,8,571392,3621.000
7,256,0.003318,0.001372,3.152741,0.000000,8,571392,3621.000
8,256,0.015920,0.057233,3.167276,0.000000,8,571392,3621.000
0,256,0.004130,0.001163,4.637239,0.000000,10,1622016,3621.000
9,256,0.011147,0.088288,3.150182,0.000000,8,571392,3621.000
18,256,0.008163,0.001908,4.288969,0.000000,8,571392,3621.000
1,256,0.003408,0.001156,3.152865,0.000000,8,573440,3621.000
2,256,0.004074,0.001395,3.152647,0.000000,8,573440,3621.000
3,256,0.003371,0.001121,3.152909,0.000000,8,571392,3621.000
4,256,0.003997,0.001118,3.152949,0.000000,8,571392,3621.000
5,256,0.003995,0.001116,3.152996,0.000000,8,571392,3621.000
10,256,0.011119,0.050250,3.151291,0.000000,8,571392,3621.000
19,256,0.009618,0.002730,4.333285,0.000000,8,571392,3621.000
11,256,0.015846,0.024129,4.558687,0.000000,10,1622016,3621.000
20,256,0.008162,0.002430,4.292666,0.000000,8,571392,3621.000
21,256,0.012073,0.002182,4.307511,0.000000,8,571392,3621.000
12,256,0.008163,0.001503,4.343665,0.000000,8,573440,3621.000
13,256,0.012403,0.002664,4.309584,0.000000,8,573440,3621.000
14,256,0.012107,0.002540,4.320726,0.000000,8,571392,3621.000
15,256,0.012127,0.005788,4.288846,0.000000,8,571392,3621.000
16,256,0.012086,0.001554,4.432716,0.000000,8,571392,3621.000
17,256,0.013374,0.002194,4.375455,0.000000,8,571392,3621.000
6,512,0.007307,0.004716,1.020422,0.000000,8,1142784,1632.595
7,512,0.007284,0.006489,1.018673,0.000000,8,1142784,1632.595
8,512,0.023379,0.064454,0.983711,0.000000,8,1142784,1632.595
9,512,0.017661,0.052548,0.995674,0.000000,8,1142784,1632.595
10,512,0.017636,0.061717,1.026284,0.000000,8,1142784,1632.595
11,512,0.023368,0.019729,2.829477,0.000000,10,3241984,1632.595
1,512,0.004895,0.004718,1.020318,0.000000,8,1144832,1632.595
2,512,0.004891,0.004715,1.019691,0.000000,8,1144832,1632.595
5,512,0.007222,0.004502,1.020369,0.000000,8,1144832,1632.595
4,512,0.006460,0.004714,1.020377,0.000000,8,1144832,1632.595
15,512,0.026608,0.006060,2.008551,0.000000,8,1144832,1632.595
0,512,0.006954,0.006144,2.911673,0.000000,10,3241984,1632.595
3,512,0.006332,0.005451,1.019613,0.000000,8,1144832,1632.595
17,512,0.026555,0.003417,1.755685,0.000000,8,1142784,1632.595
18,512,0.045569,0.008754,1.772859,0.000000,8,1142784,1632.595
20,512,0.051408,0.004554,2.033292,0.000000,8,1142784,1632.595
21,512,0.026572,0.005439,1.902456,0.000000,8,1142784,1632.595
14,512,0.026633,0.004383,1.808906,0.000000,8,1144832,1632.595
12,512,0.027622,0.004067,1.967281,0.000000,8,1144832,1632.595
13,512,0.027551,0.005522,2.029386,0.000000,8,1144832,1632.595
16,512,0.045547,0.006532,1.880174,0.000000,8,1144832,1632.595
19,512,0.046532,0.006812,2.466050,0.000000,8,1142784,1632.595
6,1024,0.011967,0.019028,1.171650,0.000000,8,2287616,4368.868
7,1024,0.013978,0.019333,1.171382,0.000000,8,2287616,4368.868
8,1024,0.030387,0.101610,1.353738,0.000000,8,2287616,4368.868
2,1024,0.010458,0.018679,1.172196,0.000000,8,2287616,4368.868
3,1024,0.010869,0.020681,1.170193,0.000000,8,2287616,4368.868
9,1024,0.041593,0.057147,1.341182,0.000000,8,2287616,4368.868
1,1024,0.014073,0.020681,1.170172,0.000000,8,2287616,4368.868
4,1024,0.014056,0.018627,1.171959,0.000000,8,2287616,4368.868
0,1024,0.014005,0.018940,4.834235,0.000000,10,6483968,4368.868
10,1024,0.029797,0.088499,1.336516,0.000000,8,2287616,4368.868
13,1024,0.039950,0.010990,3.025342,0.000000,8,2287616,4368.868
5,1024,0.011161,0.020310,1.170322,0.000000,8,2287616,4368.868
11,1024,0.042066,0.052031,4.714168,0.000000,10,6483968,4368.868
14,1024,0.056389,0.012040,3.989918,0.000000,8,2287616,4368.868
15,1024,0.055963,0.017406,3.233800,0.000000,8,2287616,4368.868
16,1024,0.056394,0.017769,2.847054,0.000000,8,2287616,4368.868
17,1024,0.056377,0.021903,3.357338,0.000000,8,2287616,4368.868
18,1024,0.056003,0.010255,3.806497,0.000000,8,2287616,4368.868
19,1024,0.044945,0.019973,3.484028,0.000000,8,2287616,4368.868
20,1024,0.056375,0.013373,3.494022,0.000000,8,2287616,4368.868
21,1024,0.039990,0.011897,3.417304,0.000000,8,2287616,4368.868
12,1024,0.040883,0.015815,3.114845,0.000000,8,2287616,4368.868
6,2048,0.023435,0.084219,1.740299,0.000000,8,4575232,3237.819
7,2048,0.027967,0.079667,1.744909,0.000000,8,4575232,3237.819
8,2048,0.056132,0.119219,1.946700,0.000000,8,4575232,3237.819
9,2048,0.057245,0.170166,2.087397,0.000000,8,4575232,3237.819
10,2048,0.056842,0.078371,2.442029,0.000000,8,4575232,3237.819
0,2048,0.028578,0.073485,6.393540,0.000000,10,12965888,3237.819
4,2048,0.028683,0.078260,1.746163,0.000000,8,4575232,3237.819
5,2048,0.028840,0.080002,1.744472,0.000000,8,4575232,3237.819
11,2048,0.057796,0.071694,6.288118,0.000000,10,12965888,3237.819
1,2048,0.029102,0.082206,1.742014,0.000000,8,4577280,3237.819
2,2048,0.028515,0.077216,1.746944,0.000000,8,4575232,3237.819
3,2048,0.022038,0.079030,1.745330,0.000000,8,4575232,3237.819
16,2048,0.095315,0.053502,5.264351,0.000000,8,4575232,3237.819
20,2048,0.103984,0.043610,5.556626,0.000000,8,4575232,3237.819
21,2048,0.083970,0.038706,5.615113,0.000000,8,4575232,3237.819
12,2048,0.100990,0.044568,4.781800,0.000000,8,4577280,3237.819
13,2048,0.084508,0.048110,5.104167,0.000000,8,4575232,3237.819
15,2048,0.075594,0.047617,5.206166,0.000000,8,4575232,3237.819
14,2048,0.083931,0.041478,5.160724,0.000000,8,4575232,3237.819
17,2048,0.075178,0.047517,5.320421,0.000000,8,4575232,3237.819
18,2048,0.084100,0.058219,5.375957,0.000000,8,4575232,3237.819
19,2048,0.085996,0.034357,5.498832,0.000000,8,4575232,3237.819
6,4096,0.054940,0.385161,1.835335,0.000000,8,9150464,3419.362
7,4096,0.043221,0.390449,1.830149,0.000000,8,9150464,3419.362
8,4096,0.112989,0.530660,2.292469,0.000000,8,9150464,3419.362
10,4096,0.106217,0.445342,3.090924,0.000000,8,9150464,3419.362
11,4096,0.106546,0.281463,15.763722,0.000000,10,25929728,3419.362
9,4096,0.113148,0.471661,2.670726,0.000000,8,9150464,3419.362
1,4096,0.044621,0.380670,1.839164,0.000000,8,9152512,3419.362
5,4096,0.041284,0.391249,1.829087,0.000000,8,9150464,3419.362
0,4096,0.055122,0.308322,15.828375,0.000000,10,25929728,3419.362
2,4096,0.047980,0.392217,1.827899,0.000000,8,9152512,3419.362
3,4096,0.041654,0.383526,1.836693,0.000000,8,9152512,3419.362
4,4096,0.043529,0.385329,1.834966,0.000000,8,9150464,3419.362
21,4096,0.103309,0.158155,14.898165,0.000000,8,9150464,3419.362
12,4096,0.100055,0.132921,13.474379,0.000000,8,9152512,3419.362
13,4096,0.127499,0.119478,13.551374,0.000000,8,9152512,3419.362
14,4096,0.127669,0.128016,13.744217,0.000000,8,9152512,3419.362
15,4096,0.105642,0.141979,13.783341,0.000000,8,9150464,3419.362
17,4096,0.122484,0.133420,14.722215,0.000000,8,9150464,3419.362
16,4096,0.100699,0.105404,13.895454,0.000000,8,9150464,3419.362
18,4096,0.127198,0.130305,14.778711,0.000000,8,9150464,3419.362
19,4096,0.106007,0.126785,14.822254,0.000000,8,9150464,3419.362
20,4096,0.100372,0.138032,14.868064,0.000000,8,9150464,3419.362
6,8192,0.089256,2.045093,4.170135,0.000000,8,18302976,2856.288
7,8192,0.086916,1.972311,4.243117,0.000000,8,18302976,2856.288
13,8192,0.218408,0.534521,18.369499,0.000000,8,18302976,2856.288
11,8192,0.209124,0.786654,21.459963,0.000000,10,51857408,2856.288
8,8192,0.205243,1.400103,5.593342,0.000000,8,18300928,2856.288
9,8192,0.205337,1.234050,6.637727,0.000000,8,18300928,2856.288
10,8192,0.205090,1.092487,7.783299,0.000000,8,18300928,2856.288
5,8192,0.110321,2.033326,4.181742,0.000000,8,18302976,2856.288
0,8192,0.084243,1.167300,21.228693,0.000000,10,51857408,2856.288
2,8192,0.091262,2.042908,4.171840,0.000000,8,18302976,2856.288
3,8192,0.113498,1.966151,4.248147,0.000000,8,18302976,2856.288
4,8192,0.084884,2.013729,4.201157,0.000000,8,18302976,2856.288
12,8192,0.263460,0.432048,18.360402,0.000000,8,18302976,2856.288
